Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk,Year
Broncos  Broncos,38.8,2559,65,43.8,60,2893,23,1,8,3,25,28,274,0,1,2013
Cowboys  Cowboys,39.1,3008,77,45.0,62,3467,30,2,5,6,27,37,339,0,0,2013
Browns  Browns,37.6,3236,85,43.2,59,3713,28,6,10,6,25,38,357,0,1,2013
Bengals  Bengals,39.9,2996,75,44.4,75,3330,27,14,8,4,22,27,254,1,0,2013
Bears  Bears,37.9,2612,68,40.0,65,2763,27,11,15,2,25,15,111,0,1,2013
Panthers  Panthers,41.6,2909,70,47.8,72,3344,25,6,10,5,13,36,335,0,0,2013
Bills  Bills,36.1,3467,96,43.0,66,4124,26,14,6,9,22,45,477,1,0,2013
Ravens  Ravens,38.9,3539,90,45.5,69,4138,27,12,9,9,14,46,419,0,1,2013
Falcons  Falcons,41.1,2875,68,45.2,63,3166,26,1,9,2,23,33,251,0,2,2013
Redskins  Redskins,40.0,3122,77,46.9,77,3659,22,6,12,7,10,42,397,1,1,2014
Buccaneers  Buccaneers,37.1,2929,78,39.9,56,3154,17,6,12,2,26,32,185,1,1,2014
Seahawks  Seahawks,38.3,2373,61,43.4,66,2688,28,9,7,6,22,17,195,1,1,2014
49ers  49ers,39.6,2893,72,46.2,71,3369,28,4,3,7,22,36,336,1,1,2014
Chargers  Chargers,38.1,2860,74,44.9,72,3366,23,8,9,7,15,35,366,0,1,2014
Steelers  Steelers,38.2,2367,61,43.0,74,2668,20,3,9,4,18,27,221,0,1,2014
Cardinals  Cardinals,37.1,3411,90,41.5,67,3815,35,7,8,6,37,32,284,0,2,2014
Eagles  Eagles,38.9,2953,76,43.8,68,3331,34,5,13,7,22,29,238,1,0,2014
Jets  Jets,39.9,3150,78,45.3,69,3580,23,12,9,9,23,25,250,0,1,2014
Giants  Giants,38.6,3129,80,44.9,71,3640,25,5,15,6,17,37,391,1,1,2014
Saints  Saints,42.9,2491,58,46.4,63,2690,19,6,10,5,13,24,99,0,0,2014
Patriots  Patriots,39.9,2673,66,45.7,67,3060,25,6,10,6,15,29,267,0,1,2014
Vikings  Vikings,38.7,2943,75,43.7,62,3318,21,2,9,6,19,39,255,0,1,2014
Dolphins  Dolphins,38.6,2279,58,45.6,60,2688,21,5,3,3,11,36,349,0,1,2014
Raiders  Raiders,40.0,4357,109,45.2,62,4930,31,5,21,3,33,47,513,1,0,2014
Rams  Rams,42.3,3429,80,45.9,61,3721,33,10,10,5,27,28,192,0,1,2014
Chiefs  Chiefs,40.5,2874,71,44.6,69,3164,31,4,13,5,20,29,190,0,0,2014
Jaguars  Jaguars,39.6,3800,94,46.5,69,4464,25,7,5,10,20,52,464,0,2,2014
Colts  Colts,42.8,2956,69,46.7,61,3221,30,7,5,3,19,35,205,0,0,2014
Texans  Texans,38.7,3249,83,45.8,71,3847,27,4,13,10,24,32,398,0,1,2014
Titans  Titans,40.8,3628,88,46.3,79,4118,28,7,6,7,25,43,350,0,1,2014
Packers  Packers,37.0,1888,49,42.3,63,2159,14,5,8,4,10,22,191,1,2,2014
Lions  Lions,40.1,2727,68,46.1,71,3138,29,2,10,5,21,30,311,1,0,2014
Broncos  Broncos,37.6,2597,69,44.2,65,3048,25,6,7,4,19,33,371,1,0,2014
Cowboys  Cowboys,39.8,2306,57,44.6,64,2586,21,11,4,2,15,25,240,0,1,2014
Browns  Browns,39.2,3644,93,44.3,59,4119,25,5,11,9,26,42,295,0,0,2014
Bengals  Bengals,42.1,3073,73,46.8,69,3419,27,8,14,6,15,30,226,1,0,2014
Bears  Bears,37.7,2712,71,43.2,61,3107,20,9,7,3,19,33,335,1,1,2014
Panthers  Panthers,36.5,2701,72,43.7,72,3236,26,6,13,5,20,28,435,1,2,2014
Bills  Bills,38.7,3326,86,42.9,67,3692,31,11,11,6,20,38,246,0,0,2014
Ravens  Ravens,43.3,2595,60,47.4,73,2841,26,11,8,4,14,23,166,0,0,2014
Falcons  Falcons,40.8,2733,67,45.7,66,3063,27,6,3,4,28,26,250,0,0,2014
Redskins  Redskins,39.8,2826,70,45.4,64,3224,21,5,14,7,14,30,258,1,1,2015
Buccaneers  Buccaneers,38.0,2128,56,41.9,60,2348,15,3,7,4,15,27,140,0,0,2015
Seahawks  Seahawks,37.9,2579,68,45.7,73,3105,24,4,8,7,20,29,386,1,0,2015
49ers  49ers,39.5,3634,92,43.7,62,4017,31,13,8,5,22,44,283,0,0,2015
Chargers  Chargers,38.2,2789,72,44.7,68,3261,15,4,8,2,14,44,432,0,1,2015
Steelers  Steelers,39.1,2306,59,42.6,79,2511,28,5,12,2,21,19,165,0,0,2015
Cardinals  Cardinals,35.4,2160,60,42.2,58,2575,22,2,8,6,19,25,295,0,1,2015
Eagles  Eagles,41.6,3663,86,45.9,64,4038,29,1,12,8,23,42,215,0,2,2015
Jets  Jets,36.2,2898,79,43.1,68,3448,27,15,9,4,14,37,470,2,1,2015
Giants  Giants,38.9,2960,76,44.5,64,3380,33,2,17,6,21,30,300,0,0,2015
Saints  Saints,39.9,2671,67,44.9,58,3006,25,15,4,6,16,26,215,0,0,2015
Patriots  Patriots,39.9,2951,73,45.4,67,3358,31,11,6,3,14,39,347,1,1,2015
Vikings  Vikings,37.8,2494,66,41.6,61,2746,23,3,8,5,21,29,152,0,0,2015
Dolphins  Dolphins,39.7,3654,92,47.6,70,4380,30,9,8,10,15,50,526,0,0,2015
Raiders  Raiders,40.7,3416,83,44.0,70,3697,40,9,21,4,19,30,201,0,1,2015
Rams  Rams,43.7,4192,96,47.9,68,4601,41,8,17,6,25,40,289,1,0,2015
Chiefs  Chiefs,40.8,3063,75,44.4,62,3333,37,9,14,5,21,26,170,0,0,2015
Jaguars  Jaguars,39.5,3158,80,46.3,63,3700,26,3,6,4,22,45,462,0,0,2015
Colts  Colts,41.7,3546,85,47.7,63,4052,28,7,13,6,23,36,386,3,0,2015
Texans  Texans,38.6,3701,96,47.2,64,4533,24,2,8,11,15,60,612,0,0,2015
Titans  Titans,40.3,3550,88,47.4,61,4175,34,11,6,1,23,47,605,1,0,2015
Packers  Packers,40.2,3260,81,43.9,62,3554,18,14,6,6,14,41,174,0,0,2015
Lions  Lions,42.0,3356,80,46.0,66,3679,25,4,10,3,20,43,263,0,0,2015
Broncos  Broncos,39.5,3357,85,43.6,62,3704,22,12,16,5,16,36,247,0,0,2015
