Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Year
Bengals  Bengals,69,4367,8,11.6,58,22.2,0,0,3,0,2009
Bears  Bears,73,4797,8,11.0,64,24.3,0,0,1,0,2009
Panthers  Panthers,72,4803,21,29.2,51,24.8,1,0,0,1,2009
Bills  Bills,69,4395,6,8.7,59,21.5,1,0,1,0,2009
Ravens  Ravens,84,5398,4,4.8,77,20.3,0,0,1,0,2009
Falcons  Falcons,76,5080,28,36.8,46,20.5,2,1,0,0,2009
Redskins  Redskins,72,4693,9,12.5,61,19.0,1,0,1,0,2010
Buccaneers  Buccaneers,78,4811,1,1.3,75,20.7,2,0,0,1,2010
Seahawks  Seahawks,73,4745,20,27.4,50,22.0,3,0,1,0,2010
49ers  49ers,72,4482,5,6.9,67,22.2,0,0,0,1,2010
Chargers  Chargers,96,5924,6,6.3,84,22.4,4,1,3,3,2010
Steelers  Steelers,86,5213,7,8.1,77,20.0,2,0,1,1,2010
Cardinals  Cardinals,70,4552,16,22.9,51,24.2,3,0,0,0,2010
Eagles  Eagles,96,6214,23,24.0,69,21.8,2,1,2,0,2010
Jets  Jets,81,5025,7,8.6,73,19.6,0,0,1,0,2010
Giants  Giants,85,5295,7,8.2,77,19.7,0,0,1,0,2010
Saints  Saints,84,5481,14,16.7,66,24.1,2,0,2,0,2010
Patriots  Patriots,100,6397,17,17.0,81,22.5,0,0,1,1,2010
Vikings  Vikings,65,4050,3,4.6,61,23.9,1,0,0,1,2010
Dolphins  Dolphins,70,4603,14,20.0,53,24.6,0,0,3,2,2010
Raiders  Raiders,93,6091,29,31.2,61,23.1,1,0,1,1,2010
Rams  Rams,73,4866,5,6.8,65,23.7,2,0,2,1,2010
Chiefs  Chiefs,78,4794,8,10.3,66,20.2,2,0,2,1,2010
Jaguars  Jaguars,76,5044,15,19.7,59,21.5,1,0,2,1,2010
Colts  Colts,91,6069,16,17.6,73,25.8,2,0,0,1,2010
Texans  Texans,86,5695,13,15.1,72,24.2,2,1,0,1,2010
Titans  Titans,76,5071,17,22.4,56,24.8,1,1,2,1,2010
Packers  Packers,84,5173,4,4.8,76,21.8,1,1,3,0,2010
Lions  Lions,77,4775,3,3.9,72,20.7,2,1,0,1,2010
