Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Ravens  Ravens,216,86,9,4,189,54.0,80,19.1,1000,2015
Falcons  Falcons,191,82,15,5,197,53.2,107,25.7,996,2015
Redskins  Redskins,208,97,16,9,225,58.1,109,25.8,1050,2016
Buccaneers  Buccaneers,195,67,10,8,203,58.5,102,23.9,1013,2016
Seahawks  Seahawks,212,82,20,6,180,54.4,94,21.3,1020,2016
49ers  49ers,226,102,7,4,187,58.1,140,25.5,1102,2016
Chargers  Chargers,208,83,16,11,204,56.0,98,23.9,1025,2016
Steelers  Steelers,214,88,21,11,184,48.3,95,25.7,997,2016
Cardinals  Cardinals,219,85,15,7,175,50.9,90,21.2,1019,2016
Eagles  Eagles,205,82,18,8,177,53.2,89,22.8,978,2016
Jets  Jets,210,84,10,2,203,58.5,86,20.1,1000,2016
Giants  Giants,238,84,14,7,191,51.8,82,20.7,1062,2016
Saints  Saints,194,84,10,4,230,60.8,91,23.0,1008,2016
Patriots  Patriots,206,76,18,7,190,51.6,81,22.0,998,2016
Vikings  Vikings,206,80,14,3,186,56.0,87,21.5,993,2016
Dolphins  Dolphins,213,77,16,9,199,54.1,109,23.5,1088,2016
Raiders  Raiders,198,78,15,4,188,57.3,94,22.3,987,2016
Rams  Rams,220,82,14,12,194,51.3,91,21.5,1037,2016
Chiefs  Chiefs,222,96,20,10,209,59.7,102,23.3,1063,2016
Jaguars  Jaguars,224,83,13,6,174,50.4,93,20.9,1030,2016
Colts  Colts,193,80,8,3,225,59.5,93,22.7,1024,2016
Texans  Texans,213,82,13,3,157,49.2,87,21.9,950,2016
Titans  Titans,210,77,22,12,227,58.5,70,19.7,1031,2016
Packers  Packers,199,82,18,12,227,61.4,80,21.3,987,2016
Lions  Lions,198,90,8,3,206,51.6,99,25.4,964,2016
Broncos  Broncos,236,86,16,6,169,55.2,101,21.0,1076,2016
Cowboys  Cowboys,197,77,14,9,226,53.2,79,23.2,1009,2016
Browns  Browns,206,93,12,9,220,63.4,121,24.3,1067,2016
Bengals  Bengals,217,86,19,9,196,52.4,95,23.1,1038,2016
Bears  Bears,210,85,14,10,188,55.0,99,22.2,1012,2016
Panthers  Panthers,211,80,13,9,223,54.5,90,23.9,1035,2016
Bills  Bills,205,82,14,4,183,59.8,122,26.1,1018,2016
Ravens  Ravens,214,75,16,11,190,51.5,74,19.3,993,2016
Falcons  Falcons,213,89,25,18,232,55.0,95,25.7,1059,2016
Redskins  Redskins,226,83,15,9,171,55.9,105,22.2,1045,2017
Buccaneers  Buccaneers,216,104,9,2,202,54.4,102,23.2,1011,2017
Seahawks  Seahawks,222,85,15,7,181,55.7,90,19.9,1045,2017
49ers  49ers,221,95,12,10,198,57.6,108,22.0,1065,2017
Chargers  Chargers,221,86,20,6,153,46.5,99,23.0,997,2017
Steelers  Steelers,199,72,19,6,157,52.9,89,23.1,940,2017
Cardinals  Cardinals,224,80,16,7,187,54.5,68,16.7,1007,2017
Eagles  Eagles,205,66,18,4,177,48.8,62,18.4,976,2017
Jets  Jets,221,82,11,5,191,58.1,88,18.9,1052,2017
Giants  Giants,222,88,17,5,189,54.5,101,21.8,1052,2017
Saints  Saints,212,87,12,4,172,52.3,92,22.7,1002,2017
Patriots  Patriots,208,82,23,10,204,55.6,98,25.1,1022,2017
Vikings  Vikings,202,51,23,9,168,51.9,59,16.2,956,2017
Dolphins  Dolphins,203,75,8,2,190,56.0,88,20.4,989,2017
Raiders  Raiders,215,88,10,7,187,51.8,93,21.5,994,2017
Rams  Rams,227,86,15,9,181,55.9,86,20.6,1020,2017
Chiefs  Chiefs,207,83,17,9,204,62.8,112,25.3,1044,2017
Jaguars  Jaguars,220,74,13,6,143,49.5,91,21.2,993,2017
Colts  Colts,217,97,14,7,192,60.0,99,20.3,1026,2017
Texans  Texans,201,71,8,5,176,54.8,88,20.0,973,2017
Titans  Titans,214,78,16,10,231,62.6,68,17.1,1046,2017
Packers  Packers,208,89,10,8,211,60.6,95,20.5,1014,2017
