Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Patriots  Patriots,574,342,59.6,7.2,3837,24,16,84.0,196,34.1,62,8,50,40,2014
Vikings  Vikings,534,353,66.1,7.1,3572,26,13,92.8,189,35.4,44,10,66T,41,2014
Dolphins  Dolphins,537,338,62.9,7.0,3557,27,14,89.7,194,36.1,47,7,74T,39,2014
Raiders  Raiders,538,343,63.8,7.4,3810,29,9,96.9,190,35.3,59,6,70T,22,2014
Rams  Rams,540,368,68.1,7.6,3861,18,13,91.8,189,35.0,44,8,80T,40,2014
Chiefs  Chiefs,545,318,58.3,6.4,3252,22,6,86.4,184,33.8,41,7,48,46,2014
Jaguars  Jaguars,541,355,65.6,7.7,3899,24,6,99.1,200,37.0,60,7,73T,45,2014
Colts  Colts,543,320,58.9,7.2,3669,27,12,88.7,175,32.2,54,11,63T,41,2014
Texans  Texans,619,363,58.6,6.7,3890,28,20,80.4,206,33.3,50,12,80T,38,2014
Titans  Titans,545,347,63.7,7.3,3773,28,12,93.6,211,38.7,47,9,80,39,2014
Packers  Packers,564,333,59.0,6.9,3623,26,18,82.0,196,34.8,50,8,79,41,2014
Lions  Lions,592,383,64.7,6.8,3706,23,20,83.0,209,35.3,47,6,50,42,2014
Broncos  Broncos,641,399,62.2,6.0,3607,29,18,82.4,219,34.2,41,4,81T,41,2014
Cowboys  Cowboys,558,371,66.5,7.5,4031,22,18,88.5,195,34.9,45,14,72,28,2014
Browns  Browns,587,335,57.1,6.4,3592,22,21,74.1,184,31.3,55,7,75T,31,2014
Bengals  Bengals,608,365,60.0,6.6,3888,18,20,75.8,197,32.4,48,6,94T,20,2014
Bears  Bears,548,366,66.8,8.1,4230,34,14,101.7,227,41.4,65,13,73T,39,2014
Panthers  Panthers,562,364,64.8,7.0,3645,25,14,89.5,193,34.3,46,5,81T,40,2014
Bills  Bills,559,337,60.3,6.4,3292,16,19,74.5,171,30.6,36,8,56T,54,2014
Ravens  Ravens,595,382,64.2,7.3,3979,22,11,90.6,205,34.5,54,10,77T,49,2014
Falcons  Falcons,566,359,63.4,8.2,4478,20,16,88.9,224,39.6,56,14,76T,22,2014
Redskins  Redskins,566,354,62.5,7.8,4128,30,11,96.1,202,35.7,58,12,62T,38,2015
Buccaneers  Buccaneers,540,378,70.0,7.5,3840,31,11,102.5,208,38.5,45,5,60T,38,2015
Seahawks  Seahawks,548,333,60.8,6.6,3364,14,14,78.1,175,31.9,49,5,69T,37,2015
49ers  49ers,549,375,68.3,8.0,4179,21,9,98.1,199,36.2,58,13,66T,28,2015
Chargers  Chargers,510,328,64.3,7.9,3786,22,11,93.8,170,33.3,54,12,72T,32,2015
Steelers  Steelers,625,402,64.3,7.5,4350,29,17,90.9,231,37.0,52,12,80T,48,2015
Cardinals  Cardinals,573,343,59.9,6.9,3687,24,19,80.9,177,30.9,56,14,88T,36,2015
Eagles  Eagles,633,394,62.2,7.1,4273,36,15,92.8,239,37.8,55,9,59,37,2015
Jets  Jets,601,343,57.1,6.7,3763,25,18,79.0,185,30.8,59,11,72T,39,2015
Giants  Giants,638,423,66.3,7.7,4783,31,15,95.9,236,37.0,62,11,76T,23,2015
Saints  Saints,544,372,68.4,8.7,4544,45,9,116.2,223,41.0,64,17,90T,31,2015
Patriots  Patriots,596,361,60.6,7.1,3851,24,12,87.0,204,34.2,57,9,87T,49,2015
Vikings  Vikings,561,359,64.0,7.2,3759,24,13,90.0,189,33.7,47,10,72T,43,2015
