Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Jaguars  Jaguars,240,2510,10.5,12,30,4,74T,122,50.8,3,2011
Colts  Colts,302,3223,10.7,14,32,6,87T,170,56.3,3,2011
Texans  Texans,288,3696,12.8,20,55,11,80T,176,61.1,1,2011
Titans  Titans,353,4113,11.7,22,51,14,80T,185,52.4,5,2011
Packers  Packers,376,5161,13.7,51,70,16,93T,230,61.2,1,2011
Lions  Lions,423,5071,12.0,41,65,16,73T,244,57.7,4,2011
Broncos  Broncos,217,2708,12.5,20,36,8,56T,130,59.9,6,2011
Cowboys  Cowboys,376,4453,11.8,33,58,11,77,219,58.2,5,2011
Browns  Browns,320,3300,10.3,16,32,6,76T,173,54.1,2,2011
Bengals  Bengals,308,3507,11.4,21,51,11,84,160,51.9,2,2011
Bears  Bears,268,3346,12.5,18,43,7,81,153,57.1,7,2011
Panthers  Panthers,312,4089,13.1,21,66,9,91T,175,56.1,6,2011
Bills  Bills,356,3857,10.8,24,48,8,60T,180,50.6,1,2011
Ravens  Ravens,314,3629,11.6,21,44,7,74T,181,57.6,1,2011
Falcons  Falcons,365,4365,12.0,29,56,10,80T,215,58.9,2,2011
Redskins  Redskins,291,3666,12.6,24,53,8,88T,171,58.8,4,2012
Buccaneers  Buccaneers,311,4144,13.3,27,57,16,95,188,60.5,0,2012
Seahawks  Seahawks,259,3234,12.5,27,45,11,67,153,59.1,3,2012
49ers  49ers,289,3551,12.3,23,54,8,57,172,59.5,5,2012
Chargers  Chargers,338,3606,10.7,26,41,3,80T,184,54.4,2,2012
Steelers  Steelers,354,4012,11.3,27,49,8,82T,202,57.1,12,2012
Cardinals  Cardinals,337,3383,10.0,11,36,3,53,168,49.9,2,2012
Eagles  Eagles,367,4075,11.1,18,51,6,77T,190,51.8,5,2012
Jets  Jets,272,3178,11.7,14,40,6,66,162,59.6,7,2012
Giants  Giants,323,3967,12.3,26,50,10,80T,187,57.9,0,2012
Saints  Saints,423,5187,12.3,43,66,13,80T,267,63.1,7,2012
Patriots  Patriots,402,4844,12.0,34,57,8,83T,256,63.7,5,2012
Vikings  Vikings,300,2935,9.8,18,28,3,65,163,54.3,3,2012
Dolphins  Dolphins,293,3425,11.7,13,42,3,80T,158,53.9,4,2012
Raiders  Raiders,376,4292,11.4,24,52,10,64T,200,53.2,6,2012
Rams  Rams,332,3783,11.4,22,43,8,80T,189,56.9,5,2012
Chiefs  Chiefs,273,2937,10.8,8,36,3,57,144,52.7,2,2012
Jaguars  Jaguars,328,3746,11.4,20,48,8,81T,157,47.9,3,2012
Colts  Colts,339,4374,12.9,23,65,11,70T,208,61.4,4,2012
Texans  Texans,354,4046,11.4,22,46,8,60T,205,57.9,0,2012
Titans  Titans,318,3577,11.2,17,42,7,71T,166,52.2,9,2012
Packers  Packers,374,4342,11.6,40,55,9,73,213,57.0,2,2012
Lions  Lions,445,5139,11.5,22,67,10,57,272,61.1,7,2012
Broncos  Broncos,402,4671,11.6,37,64,7,71T,232,57.7,4,2012
Cowboys  Cowboys,434,4992,11.5,29,55,9,85T,237,54.6,4,2012
Browns  Browns,328,3668,11.2,16,50,6,71T,185,56.4,5,2012
Bengals  Bengals,335,3807,11.4,28,39,14,73T,173,51.6,6,2012
Bears  Bears,287,3298,11.5,21,39,6,60T,163,56.8,3,2012
Panthers  Panthers,284,3927,13.8,19,58,11,82,171,60.2,4,2012
Bills  Bills,309,3430,11.1,24,44,7,68T,176,57.0,7,2012
Ravens  Ravens,334,3996,12.0,22,62,12,61T,182,54.5,0,2012
Falcons  Falcons,422,4719,11.2,32,46,10,80T,246,58.3,3,2012
Redskins  Redskins,355,4057,11.4,20,39,6,62T,198,55.8,5,2013
Buccaneers  Buccaneers,291,3181,10.9,22,39,7,85T,157,54.0,1,2013
Seahawks  Seahawks,267,3508,13.1,27,52,10,80T,160,59.9,4,2013
49ers  49ers,244,3210,13.2,21,46,10,64T,148,60.7,3,2013
Chargers  Chargers,378,4478,11.8,32,60,6,60T,230,60.8,4,2013
Steelers  Steelers,377,4306,11.4,28,61,10,67,207,54.9,3,2013
Cardinals  Cardinals,363,4291,11.8,24,49,9,91T,205,56.5,3,2013
Eagles  Eagles,310,4406,14.2,32,80,18,70,197,63.5,3,2013
Jets  Jets,266,3270,12.3,13,47,6,69T,154,57.9,1,2013
Giants  Giants,325,3875,11.9,18,54,7,70T,176,54.2,4,2013
Saints  Saints,446,5162,11.6,39,67,15,76T,244,54.7,1,2013
